,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,Market Cap,Beta (5Y Monthly),PE Ratio (TTM),EPS (TTM),Earnings Date,Forward Dividend & Yield,Ex-Dividend Date,1y Target Est,ticker,url,error
223,71.11,71.53,68.18 x 1200,72.39 x 800,70.45 - 72.67,60.10 - 81.04,"2,121,836","1,644,390",18.2B,1.11,10.04,7.21,2022-04-26 to 2022-05-02,N/A (N/A),N/A,85.3,HOLX,http://finance.yahoo.com/quote/HOLX?p=HOLX,
224,182.34,182.10,186.56 x 800,188.74 x 3200,182.08 - 189.50,174.42 - 236.86,"5,001,199","3,633,903",129.809B,1.17,24.27,7.77,2022-04-21 to 2022-04-25,3.92 (1.88%),"Nov 10, 2021",236.18,HON,http://finance.yahoo.com/quote/HON?p=HON,
225,16.25,16.02,16.01 x 1300,16.07 x 900,15.46 - 16.16,12.99 - 17.76,"18,609,698","11,014,837",20.721B,1.24,6.21,2.58,2022-02-28 to 2022-03-04,0.48 (2.98%),"Dec 09, 2021",17.71,HPE,http://finance.yahoo.com/quote/HPE?p=HPE,
226,34.53,34.00,34.43 x 1000,34.77 x 1300,33.22 - 34.69,26.11 - 39.65,"13,189,571","10,249,775",37.3B,1.01,6.46,5.33,2022-02-23 to 2022-02-28,1.00 (2.67%),"Mar 08, 2022",36.17,HPQ,http://finance.yahoo.com/quote/HPQ?p=HPQ,
227,47.03,47.33,48.30 x 900,48.73 x 800,47.33 - 48.55,40.48 - 50.74,"2,069,287","2,288,227",26.293B,0.08,29.19,1.66,2022-02-16 to 2022-02-21,1.04 (2.21%),"Jan 14, 2022",46.56,HRL,http://finance.yahoo.com/quote/HRL?p=HRL,
228,83.98,84.32,87.31 x 1300,91.25 x 1000,84.13 - 87.55,60.70 - 87.55,"1,163,595","988,450",12.109B,0.79,19.88,4.393,2022-05-02 to 2022-05-06,N/A (N/A),N/A,85.91,HSIC,http://finance.yahoo.com/quote/HSIC?p=HSIC,
229,18.49,18.59,18.49 x 3100,18.72 x 27000,18.43 - 18.90,14.67 - 19.75,"8,988,038","8,056,324",13.388B,1.34,N/A,-0.56,2022-02-16 to 2022-02-21,N/A (N/A),"Mar 30, 2020",19.42,HST,http://finance.yahoo.com/quote/HST?p=HST,
230,196.81,198.51,196.12 x 1100,210.00 x 1200,198.02 - 204.59,143.58 - 207.82,"1,056,967","986,496",42.091B,0.41,29.66,6.888,2022-04-27 to 2022-05-02,3.60 (1.85%),"Nov 18, 2021",191.05,HSY,http://finance.yahoo.com/quote/HSY?p=HSY,
231,421.30,422.02,408.33 x 1000,435.05 x 800,421.69 - 434.85,351.20 - 475.44,"774,546","1,296,320",55.612B,0.92,21.10,20.509,2022-04-26 to 2022-05-02,2.80 (0.61%),"Dec 30, 2021",505.54,HUM,http://finance.yahoo.com/quote/HUM?p=HUM,
232,34.38,34.50,34.80 x 800,36.00 x 1800,34.50 - 35.93,27.41 - 36.03,"3,415,607","3,070,585",15.273B,1.58,54.08,0.661,2022-02-01 to 2022-02-07,0.08 (0.23%),"Feb 03, 2022",38.73,HWM,http://finance.yahoo.com/quote/HWM?p=HWM,
233,121.97,122.05,123.75 x 800,124.18 x 800,121.45 - 124.26,113.54 - 146.12,"4,308,665","5,982,519",111.305B,1.10,23.51,5.283,2022-04-18 to 2022-04-22,6.56 (4.75%),"Nov 09, 2021",145.17,IBM,http://finance.yahoo.com/quote/IBM?p=IBM,
234,127.92,127.75,119.00 x 900,128.98 x 1000,126.36 - 128.81,109.04 - 139.79,"3,880,786","2,554,264",72.381B,0.82,23.70,5.421,2022-04-27 to 2022-05-02,1.32 (0.98%),"Dec 16, 2021",156.5,ICE,http://finance.yahoo.com/quote/ICE?p=ICE,
235,509.77,509.78,480.00 x 1200,549.98 x 800,503.95 - 523.89,460.36 - 706.95,"476,489","489,233",44.3B,0.94,59.93,8.718,2022-05-02 to 2022-05-06,N/A (N/A),N/A,706.17,IDXX,http://finance.yahoo.com/quote/IDXX?p=IDXX,
